Province,Centre,Total
,St. John's,220
,St. John's,58
,St. John's,7
,St. John's,25
,St. John's,67
,St. John's,6
,St. John's,1
,St. John's,286
,St. John's,678
,St. John's,48
,St. John's,4
,St. John's,13
,St. John's,6
,St. John's,"1,419"
,Corner Brook,9
,Corner Brook,19
,Corner Brook,41
,Corner Brook,4
,Corner Brook,2
,Corner Brook,7
,Corner Brook,6
,Corner Brook,88
,Gander,1
,Gander,62
,Gander,1
,Gander,2
,Gander,66
,Grand Falls-Windsor,4
,Grand Falls-Windsor,4
,Grand Falls-Windsor,38
,Grand Falls-Windsor,1
,Grand Falls-Windsor,4
,Grand Falls-Windsor,3
,Grand Falls-Windsor,54
,Labrador City,--
,Labrador City,2
,Labrador City,2
,Total,"1,629"
,Charlottetown,6
,Charlottetown,20
,Charlottetown,8
,Charlottetown,11
,Charlottetown,2
,Charlottetown,5
,Charlottetown,3
,Charlottetown,1
,Charlottetown,8
,Charlottetown,4
,Charlottetown,13
,Charlottetown,3
,Charlottetown,3
,Charlottetown,--
,Charlottetown,2
,Charlottetown,250
,Charlottetown,66
,Charlottetown,22
,Charlottetown,427
,Summerside,--
,Summerside,--
,Summerside,8
,Summerside,59
,Summerside,67
,Total,494
,Halifax,"2,091"
,Halifax,"2,091"
,Cape Breton,186
,Cape Breton,186
,Kentville,72
,Kentville,37
,Kentville,43
,Kentville,152
,New Glasgow,29
,New Glasgow,27
,New Glasgow,6
,New Glasgow,36
,New Glasgow,36
,New Glasgow,--
,New Glasgow,134
,Truro,105
,Truro,123
,Truro,65
,Truro,293
,Total,"2,856"
,Saint John,3
,Saint John,2
,Saint John,21
,Saint John,152
,Saint John,3
,Saint John,5
,Saint John,--
,Saint John,1
,Saint John,7
,Saint John,20
,Saint John,3
,Saint John,7
,Saint John,6
,Saint John,15
,Saint John,1
,Saint John,34
,Saint John,138
,Saint John,418
,Fredericton,51
,Fredericton,11
,Fredericton,6
,Fredericton,7
,Fredericton,47
,Fredericton,22
,Fredericton,15
,Fredericton,29
,Fredericton,524
,Fredericton,712
,Moncton,2
,Moncton,1
,Moncton,29
,Moncton,131
,Moncton,5
,Moncton,4
,Moncton,1
,Moncton,44
,Moncton,44
,Moncton,556
,Moncton,20
,Moncton,337
,Moncton,"1,174"
,Miramichi,52
,Miramichi,52
,Bathurst,15
,Bathurst,36
,Bathurst,10
,Bathurst,4
,Bathurst,65
,Campbellton,4
,Campbellton,1
,Campbellton,15
,Campbellton,1
,Campbellton,21
,Edmundston,1
,Edmundston,2
,Edmundston,4
,Edmundston,28
,Edmundston,3
,Edmundston,38
,Total,"2,480"
,Saguenay,458
,Saguenay,2
,Saguenay,24
,Saguenay,5
,Saguenay,489
,Montréal,151
,Montréal,3
,Montréal,18
,Montréal,308
,Montréal,103
,Montréal,84
,Montréal,152
,Montréal,32
,Montréal,185
,Montréal,114
,Montréal,8
,Montréal,720
,Montréal,24
,Montréal,220
,Montréal,46
,Montréal,"1,025"
,Montréal,79
,Montréal,188
,Montréal,52
,Montréal,119
,Montréal,666
,Montréal,11
,Montréal,342
,Montréal,"1,123"
,Montréal,706
,Montréal,"2,799"
,Montréal,20
,Montréal,"7,180"
,Montréal,126
,Montréal,--
,Montréal,101
,Montréal,7
,Montréal,15
,Montréal,91
,Montréal,--
,Montréal,195
,Montréal,50
,Montréal,36
,Montréal,8
,Montréal,8
,Montréal,1
,Montréal,463
,Montréal,--
,Montréal,123
,Montréal,228
,Montréal,373
,Montréal,87
,Montréal,63
,Montréal,70
,Montréal,4
,Montréal,103
,Montréal,261
,Montréal,3
,Montréal,29
,Montréal,3
,Montréal,37
,Montréal,49
,Montréal,64
,Montréal,299
,Montréal,2
,Montréal,701
,Montréal,56
,Montréal,1
,Montréal,23
,Montréal,191
,Montréal,330
,Montréal,16
,Montréal,339
,Montréal,25
,Montréal,88
,Montréal,19
,Montréal,9
,Montréal,4
,Montréal,400
,Montréal,598
,Montréal,21
,Montréal,6
,Montréal,210
,Montréal,140
,Montréal,569
,Montréal,235
,Montréal,737
,Montréal,48
,Montréal,"24,143"
,Gatineau,"2,467"
,Gatineau,124
,Gatineau,130
,Gatineau,37
,Gatineau,45
