"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","112","","","","0"
"2006-04","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","116","","","","0"
"2006-07","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","126","","","","0"
"2006-10","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","154","","","","0"
"2007-01","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","109","","","","0"
"2007-04","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","126","","","","0"
"2007-07","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","144","","","","0"
"2007-10","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","167","","","","0"
"2008-01","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","150","","","","0"
"2008-04","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","174","","","","0"
"2008-07","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","165","","","","0"
"2008-10","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","138","","","","0"
"2009-01","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","114","","","","0"
"2009-04","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","154","","","","0"
"2009-07","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","193","","","","0"
"2009-10","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","145","","","","0"
"2010-01","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","142","","","","0"
"2010-04","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","200","","","","0"
"2010-07","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","189","","","","0"
"2010-10","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","184","","","","0"
"2011-01","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","130","","","","0"
"2011-04","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","197","","","","0"
"2011-07","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","172","","","","0"
"2011-10","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","186","","","","0"
"2012-01","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","157","","","","0"
"2012-04","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","227","","","","0"
"2012-07","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","165","","","","0"
"2012-10","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","184","","","","0"
"2013-01","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","76","","","","0"
"2013-04","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","253","","","","0"
"2013-07","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","235","","","","0"
"2013-10","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","269","","","","0"
"2014-01","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v29850347","2.1","181","","","","0"
