"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","50100","B","","","0"
"2007","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","52600","B","","","0"
"2008","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","58900","B","","","0"
"2009","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","60000","B","","","0"
"2010","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","59200","B","","","0"
"2011","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","61300","B","","","0"
"2012","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","63800","B","","","0"
"2013","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","65000","B","","","0"
"2014","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","69600","B","","","0"
"2015","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","67400","A","","","0"
"2016","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","65200","A","","","0"
"2017","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","63200","A","","","0"
"2018","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","64000","A","","","0"
"2019","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","60900","B","","","0"
"2020","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","58400","A","","","0"
"2021","Saskatchewan","2016A000247","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414251","11.4.1","62500","B","","","0"
"2006","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","77500","B","","","0"
"2007","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","80400","B","","","0"
"2008","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","86200","B","","","0"
"2009","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","89700","B","","","0"
"2010","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","89700","B","","","0"
"2011","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","92200","B","","","0"
"2012","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","95000","B","","","0"
"2013","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","93900","B","","","0"
"2014","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","101000","A","","","0"
"2015","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","98700","B","","","0"
"2016","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","94300","B","","","0"
"2017","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","95400","A","","","0"
"2018","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","95500","B","","","0"
"2019","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","87600","A","","","0"
"2020","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","86300","B","","","0"
"2021","Saskatchewan","2016A000247","Median market income","Economic families","2021 constant dollars","429","units","0","v96414252","11.4.2","90900","B","","","0"
"2006","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","19800","D","","","0"
"2007","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","23000","D","","","0"
"2008","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","23100","D","","","0"
"2009","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","22000","D","","","0"
"2010","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","24700","D","","","0"
"2011","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","29200","C","","","0"
"2012","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","34200","C","","","0"
"2013","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","30800","C","","","0"
"2014","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","31200","D","","","0"
"2015","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","34500","C","","","0"
"2016","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","28500","C","","","0"
"2017","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","26500","C","","","0"
"2018","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","27400","C","","","0"
"2019","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","27000","C","","","0"
"2020","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","21900","D","","","0"
"2021","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","26800","C","","","0"
"2006","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","3700","D","","","0"
"2007","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","3800","C","","","0"
"2008","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","3800","D","","","0"
