"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","55900","A","","","0"
"2007","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","57200","A","","","0"
"2008","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","58100","A","","","0"
"2009","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","55900","A","","","0"
"2010","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","55300","A","","","0"
"2011","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","55600","A","","","0"
"2012","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","57500","A","","","0"
"2013","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","57700","A","","","0"
"2014","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","58800","A","","","0"
"2015","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","58200","A","","","0"
"2016","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","57300","A","","","0"
"2017","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","58200","A","","","0"
"2018","Canada","2016A000011124","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411851","1.4.1","59500","A","","","0"
