"REF_DATE","GEO","DGUID","Mortgages","Increases and decreases","Type of mortgage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","448214","","","","0"
"2006-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","460690","","","","0"
"2006-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","470919","","","","0"
"2006-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","479229","","","","0"
"2007-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","489237","","","","0"
"2007-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","504836","","","","0"
"2007-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","508303","","","","0"
"2007-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","518601","","","","0"
"2008-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","537642","","","","0"
"2008-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","551098","","","","0"
"2008-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","565920","","","","0"
"2008-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","540994","","","","0"
"2009-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","529421","","","","0"
"2009-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","534999","","","","0"
"2009-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","544495","","","","0"
"2009-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","551598","","","","0"
"2010-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","559054","","","","0"
"2010-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","590229","","","","0"
"2010-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","594914","","","","0"
"2010-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","599728","","","","0"
"2011-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","627656","","","","0"
"2011-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","648303","","","","0"
"2011-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","654078","","","","0"
"2011-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","917456","","","","0"
"2012-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","927303","","","","0"
"2012-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","948768","","","","0"
"2012-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","963886","","","","0"
"2012-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","975525","","","","0"
"2013-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","988995","","","","0"
"2013-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1009041","","","","0"
"2013-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1035161","","","","0"
"2013-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1049319","","","","0"
"2014-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1055021","","","","0"
"2014-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1065107","","","","0"
"2014-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1084271","","","","0"
"2014-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1097914","","","","0"
"2015-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1111226","","","","0"
"2015-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1127735","","","","0"
"2015-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1157543","","","","0"
"2015-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1195555","","","","0"
"2016-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1196506","","","","0"
"2016-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1215555","","","","0"
"2016-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1243179","","","","0"
"2016-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1257533","","","","0"
"2017-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1274544","","","","0"
"2017-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1295165","","","","0"
"2017-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1317624","","","","0"
"2017-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1337676","","","","0"
"2018-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1348160","","","","0"
"2018-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1364403","","","","0"
"2018-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1382977","","","","0"
"2018-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1405816","","","","0"
"2019-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1410077","","","","0"
"2019-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1428875","","","","0"
"2019-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1457660","","","","0"
"2019-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1476217","","","","0"
"2020-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1504392","","","","0"
"2020-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1527458","","","","0"
"2020-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1559197","","","","0"
"2020-10","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1593205","","","","0"
"2021-01","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1615751","","","","0"
"2021-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","1669687","","","","0"
