"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"V121763","V80691333","Conventional mortgage - 1-year"
"V121764","V80691335","Conventional mortgage - 5-year"
"V121769","V80691334","Conventional mortgage - 3-year"
"V121796","V80691311","Prime rate"

"OBSERVATIONS"
"date","V121763","V121764","V121769","V121796"
"2005-06-01","4.85","5.85","5.50","4.25"
"2005-06-08","4.75","5.70","5.35","4.25"
"2005-06-15","4.75","5.70","5.35","4.25"
"2005-06-22","4.75","5.70","5.35","4.25"
"2005-06-29","4.75","5.70","5.35","4.25"
"2005-07-06","4.75","5.70","5.35","4.25"
"2005-07-13","4.75","5.70","5.35","4.25"
"2005-07-20","4.90","5.80","5.40","4.25"
"2005-07-27","4.90","5.80","5.40","4.25"
"2005-08-03","4.90","5.80","5.40","4.25"
"2005-08-10","4.90","5.80","5.40","4.25"
"2005-08-17","5.00","5.90","5.50","4.25"
"2005-08-24","5.00","5.80","5.40","4.25"
"2005-08-31","5.00","5.80","5.40","4.25"
"2005-09-07","5.00","5.80","5.40","4.25"
"2005-09-14","5.00","5.80","5.40","4.50"
"2005-09-21","5.00","5.80","5.40","4.50"
"2005-09-28","5.00","5.80","5.40","4.50"
"2005-10-05","5.05","5.80","5.40","4.50"
"2005-10-12","5.05","5.90","5.45","4.50"
"2005-10-19","5.05","6.00","5.55","4.75"
"2005-10-26","5.25","6.00","5.60","4.75"
"2005-11-02","5.40","6.15","5.65","4.75"
"2005-11-09","5.40","6.15","5.65","4.75"
"2005-11-16","5.40","6.15","5.65","4.75"
"2005-11-23","5.40","6.15","5.65","4.75"
"2005-11-30","5.60","6.15","5.65","4.75"
"2005-12-07","5.60","6.15","5.70","5.00"
"2005-12-14","5.60","6.15","5.70","5.00"
"2005-12-21","5.80","6.30","6.00","5.00"
"2005-12-28","5.80","6.30","6.00","5.00"
"2006-01-04","5.80","6.30","6.00","5.00"
"2006-01-11","5.80","6.30","6.00","5.00"
"2006-01-18","5.80","6.30","6.00","5.00"
"2006-01-25","5.80","6.30","6.00","5.25"
"2006-02-01","5.80","6.30","6.00","5.25"
"2006-02-08","5.85","6.45","6.10","5.25"
"2006-02-15","5.85","6.45","6.10","5.25"
"2006-02-22","5.85","6.45","6.10","5.25"
"2006-03-01","5.85","6.45","6.20","5.25"
"2006-03-08","6.05","6.45","6.20","5.50"
"2006-03-15","6.05","6.45","6.20","5.50"
"2006-03-22","6.05","6.45","6.20","5.50"
"2006-03-29","6.05","6.45","6.20","5.50"
"2006-04-05","6.05","6.45","6.20","5.50"
"2006-04-12","6.15","6.60","6.30","5.50"
"2006-04-19","6.15","6.60","6.30","5.50"
"2006-04-26","6.25","6.75","6.45","5.75"
"2006-05-03","6.25","6.75","6.45","5.75"
"2006-05-10","6.25","6.75","6.45","5.75"
"2006-05-17","6.25","6.75","6.45","5.75"
"2006-05-24","6.25","6.75","6.45","5.75"
"2006-05-31","6.25","6.75","6.45","6.00"
"2006-06-07","6.25","6.75","6.45","6.00"
"2006-06-14","6.35","6.75","6.45","6.00"
"2006-06-21","6.50","6.75","6.55","6.00"
"2006-06-28","6.60","6.95","6.75","6.00"
"2006-07-05","6.60","6.95","6.75","6.00"
"2006-07-12","6.60","6.95","6.75","6.00"
"2006-07-19","6.60","6.95","6.75","6.00"
"2006-07-26","6.60","6.95","6.75","6.00"
"2006-08-02","6.60","6.95","6.75","6.00"
"2006-08-09","6.60","6.95","6.75","6.00"
"2006-08-16","6.60","6.95","6.75","6.00"
"2006-08-23","6.40","6.85","6.60","6.00"
"2006-08-30","6.40","6.85","6.60","6.00"
"2006-09-06","6.40","6.75","6.50","6.00"
"2006-09-13","6.40","6.75","6.50","6.00"
"2006-09-20","6.40","6.75","6.50","6.00"
"2006-09-27","6.40","6.70","6.50","6.00"
"2006-10-04","6.40","6.60","6.50","6.00"
"2006-10-11","6.40","6.60","6.50","6.00"
"2006-10-18","6.40","6.60","6.50","6.00"
"2006-10-25","6.40","6.80","6.65","6.00"
"2006-11-01","6.40","6.60","6.55","6.00"
"2006-11-08","6.40","6.60","6.55","6.00"
"2006-11-15","6.40","6.60","6.55","6.00"
"2006-11-22","6.40","6.55","6.50","6.00"
"2006-11-29","6.40","6.55","6.50","6.00"
"2006-12-06","6.40","6.50","6.50","6.00"
"2006-12-13","6.30","6.45","6.40","6.00"
"2006-12-20","6.30","6.45","6.40","6.00"
"2006-12-27","6.30","6.45","6.40","6.00"
"2007-01-03","6.30","6.45","6.40","6.00"
"2007-01-10","6.30","6.45","6.40","6.00"
"2007-01-17","6.50","6.65","6.60","6.00"
"2007-01-24","6.50","6.65","6.60","6.00"
"2007-01-31","6.50","6.65","6.60","6.00"
"2007-02-07","6.50","6.65","6.60","6.00"
"2007-02-14","6.50","6.65","6.60","6.00"
"2007-02-21","6.50","6.65","6.60","6.00"
"2007-02-28","6.50","6.65","6.60","6.00"
"2007-03-07","6.40","6.49","6.50","6.00"
"2007-03-14","6.40","6.49","6.50","6.00"
"2007-03-21","6.40","6.49","6.50","6.00"
"2007-03-28","6.40","6.49","6.50","6.00"
"2007-04-04","6.40","6.44","6.50","6.00"
"2007-04-11","6.60","6.64","6.70","6.00"
"2007-04-18","6.60","6.64","6.70","6.00"
"2007-04-25","6.60","6.64","6.70","6.00"
"2007-05-02","6.60","6.64","6.70","6.00"
"2007-05-09","6.60","6.64","6.70","6.00"
