YEAR,PROVINCE,IMMIGRANTS_COUNT
2006,Alberta,47194
2007,Alberta,57508
2008,Alberta,68668
2009,Alberta,53051
2010,Alberta,41838
2011,Alberta,53014
2012,Alberta,62317
2013,Alberta,74213
2014,Alberta,59450
2015,Alberta,54077
2016,Alberta,68802
2017,Alberta,66064
2018,Alberta,65369
2019,Alberta,73947
2020,Alberta,31077
2021,Alberta,108738
2022,Alberta,214161
2006,British Columbia,82476
2007,British Columbia,86383
2008,British Columbia,97093
2009,British Columbia,90963
2010,British Columbia,80292
2011,British Columbia,84126
2012,British Columbia,82238
2013,British Columbia,85229
2014,British Columbia,80254
2015,British Columbia,52454
2016,British Columbia,99034
2017,British Columbia,109307
2018,British Columbia,112153
2019,British Columbia,114696
2020,British Columbia,24086
2021,British Columbia,256558
2022,British Columbia,464239
2006,Manitoba,15278
2007,Manitoba,16616
2008,Manitoba,16151
2009,Manitoba,17808
2010,Manitoba,19421
2011,Manitoba,19717
2012,Manitoba,18347
2013,Manitoba,18202
2014,Manitoba,21729
2015,Manitoba,24519
2016,Manitoba,27150
2017,Manitoba,26948
2018,Manitoba,24556
2019,Manitoba,24177
2020,Manitoba,10706
2021,Manitoba,40814
2022,Manitoba,80759
2006,New Brunswick,3563
2007,New Brunswick,3495
2008,New Brunswick,3956
2009,New Brunswick,3592
2010,New Brunswick,3580
2011,New Brunswick,3326
2012,New Brunswick,3565
2013,New Brunswick,3355
2014,New Brunswick,4263
2015,New Brunswick,4681
2016,New Brunswick,6518
2017,New Brunswick,5859
2018,New Brunswick,7558
2019,New Brunswick,8899
2020,New Brunswick,3531
2021,New Brunswick,20064
2022,New Brunswick,39915
2006,Newfoundland and Labrador,1672
2007,Newfoundland and Labrador,1477
2008,Newfoundland and Labrador,1861
2009,Newfoundland and Labrador,1710
2010,Newfoundland and Labrador,1545
2011,Newfoundland and Labrador,2071
2012,Newfoundland and Labrador,2453
2013,Newfoundland and Labrador,2455
2014,Newfoundland and Labrador,1823
2015,Newfoundland and Labrador,2460
2016,Newfoundland and Labrador,3012
2017,Newfoundland and Labrador,2069
2018,Newfoundland and Labrador,2253
2019,Newfoundland and Labrador,3121
2020,Newfoundland and Labrador,257
2021,Newfoundland and Labrador,8885
2022,Newfoundland and Labrador,18217
2006,Nova Scotia,5883
2007,Nova Scotia,5229
2008,Nova Scotia,6033
2009,Nova Scotia,6064
2010,Nova Scotia,6467
2011,Nova Scotia,6297
2012,Nova Scotia,6001
2013,Nova Scotia,5121
2014,Nova Scotia,5397
2015,Nova Scotia,8616
2016,Nova Scotia,10673
2017,Nova Scotia,9594
2018,Nova Scotia,12405
2019,Nova Scotia,13416
2020,Nova Scotia,2582
2021,Nova Scotia,29955
2022,Nova Scotia,56780
2006,Ontario,208028
2007,Ontario,198742
2008,Ontario,205703
2009,Ontario,189125
2010,Ontario,202329
2011,Ontario,201423
2012,Ontario,200996
2013,Ontario,202869
2014,Ontario,187929
2015,Ontario,204297
2016,Ontario,265706
2017,Ontario,271227
2018,Ontario,299184
2019,Ontario,318713
2020,Ontario,90190
2021,Ontario,641514
2022,Ontario,1104635
2006,Prince Edward Island,1009
2007,Prince Edward Island,1386
2008,Prince Edward Island,1839
2009,Prince Edward Island,2166
2010,Prince Edward Island,3017
2011,Prince Edward Island,2183
2012,Prince Edward Island,1633
2013,Prince Edward Island,1318
2014,Prince Edward Island,2128
2015,Prince Edward Island,2348
2016,Prince Edward Island,3444
2017,Prince Edward Island,3393
2018,Prince Edward Island,3664
2019,Prince Edward Island,3964
2020,Prince Edward Island,1561
2021,Prince Edward Island,7560
2022,Prince Edward Island,12456
2006,Quebec,69565
2007,Quebec,73504
2008,Quebec,78684
2009,Quebec,81298
2010,Quebec,80145
2011,Quebec,82484
2012,Quebec,86210
2013,Quebec,81490
2014,Quebec,83268
2015,Quebec,83553
2016,Quebec,99968
2017,Quebec,119147
2018,Quebec,122769
2019,Quebec,128785
2020,Quebec,36738
2021,Quebec,212221
2022,Quebec,498555
2006,Saskatchewan,4403
2007,Saskatchewan,5746
2008,Saskatchewan,8521
2009,Saskatchewan,10753
2010,Saskatchewan,9567
2011,Saskatchewan,12730
2012,Saskatchewan,15859
2013,Saskatchewan,15609
2014,Saskatchewan,14327
2015,Saskatchewan,16664
2016,Saskatchewan,19489
2017,Saskatchewan,17922
2018,Saskatchewan,19352
2019,Saskatchewan,21214
2020,Saskatchewan,8328
2021,Saskatchewan,25307
2022,Saskatchewan,55857
