Province,Centre,Total
Nfld.Lab./T.-N.-L.,St. John's,220
Nfld.Lab./T.-N.-L.,St. John's,58
Nfld.Lab./T.-N.-L.,St. John's,7
Nfld.Lab./T.-N.-L.,St. John's,25
Nfld.Lab./T.-N.-L.,St. John's,67
Nfld.Lab./T.-N.-L.,St. John's,6
Nfld.Lab./T.-N.-L.,St. John's,1
Nfld.Lab./T.-N.-L.,St. John's,286
Nfld.Lab./T.-N.-L.,St. John's,678
Nfld.Lab./T.-N.-L.,St. John's,48
Nfld.Lab./T.-N.-L.,St. John's,4
Nfld.Lab./T.-N.-L.,St. John's,13
Nfld.Lab./T.-N.-L.,St. John's,6
Nfld.Lab./T.-N.-L.,St. John's,"1,419"
Nfld.Lab./T.-N.-L.,Corner Brook,9
Nfld.Lab./T.-N.-L.,Corner Brook,19
Nfld.Lab./T.-N.-L.,Corner Brook,41
Nfld.Lab./T.-N.-L.,Corner Brook,4
Nfld.Lab./T.-N.-L.,Corner Brook,2
Nfld.Lab./T.-N.-L.,Corner Brook,7
Nfld.Lab./T.-N.-L.,Corner Brook,6
Nfld.Lab./T.-N.-L.,Corner Brook,88
Nfld.Lab./T.-N.-L.,Gander,1
Nfld.Lab./T.-N.-L.,Gander,62
Nfld.Lab./T.-N.-L.,Gander,1
Nfld.Lab./T.-N.-L.,Gander,2
Nfld.Lab./T.-N.-L.,Gander,66
Nfld.Lab./T.-N.-L.,Grand Falls-Windsor,4
Nfld.Lab./T.-N.-L.,Grand Falls-Windsor,4
Nfld.Lab./T.-N.-L.,Grand Falls-Windsor,38
Nfld.Lab./T.-N.-L.,Grand Falls-Windsor,1
Nfld.Lab./T.-N.-L.,Grand Falls-Windsor,4
Nfld.Lab./T.-N.-L.,Grand Falls-Windsor,3
Nfld.Lab./T.-N.-L.,Grand Falls-Windsor,54
Nfld.Lab./T.-N.-L.,Labrador City,--
Nfld.Lab./T.-N.-L.,Labrador City,2
Nfld.Lab./T.-N.-L.,Labrador City,2
Nfld.Lab./T.-N.-L.,Total,"1,629"
P.E.I./Î.-P.-É.,Charlottetown,6
P.E.I./Î.-P.-É.,Charlottetown,20
P.E.I./Î.-P.-É.,Charlottetown,8
P.E.I./Î.-P.-É.,Charlottetown,11
P.E.I./Î.-P.-É.,Charlottetown,2
P.E.I./Î.-P.-É.,Charlottetown,5
P.E.I./Î.-P.-É.,Charlottetown,3
P.E.I./Î.-P.-É.,Charlottetown,1
P.E.I./Î.-P.-É.,Charlottetown,8
P.E.I./Î.-P.-É.,Charlottetown,4
P.E.I./Î.-P.-É.,Charlottetown,13
P.E.I./Î.-P.-É.,Charlottetown,3
P.E.I./Î.-P.-É.,Charlottetown,3
P.E.I./Î.-P.-É.,Charlottetown,--
P.E.I./Î.-P.-É.,Charlottetown,2
P.E.I./Î.-P.-É.,Charlottetown,250
P.E.I./Î.-P.-É.,Charlottetown,66
P.E.I./Î.-P.-É.,Charlottetown,22
